TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
1594271549,2,3,10,26583.118522448975
1617994924,2,3,10,58171.48558367348
1711757436,2,3,10,117755.47019591839
716679764,2,4,10,206249.49880816325
735286989,2,4,10,15174.263469387752
796628327,2,4,10,13373.581216326533
803656013,2,4,10,490747.65938775503
804245827,2,4,10,10070.456318367349
807444298,2,4,10,13402.466253061224
811224241,2,4,10,326123.83244897955
811350832,2,4,10,598672.9420408164
811405342,2,4,10,13834.924824489786
813036796,2,4,10,13029.405028571427
815378026,2,4,10,40845.299355102026
821340660,2,4,10,16602.97531428572
821851364,2,4,10,192502.23448163262
824008632,2,4,10,364926.48166530614
824014002,2,4,10,2583.1618857142857
824093461,2,4,10,8491.196930612243
829628090,2,4,10,1640689.9395918364
830443285,2,4,10,23265.712620408172
831771058,2,4,10,242741.9612979592
831990789,2,4,10,283339.03911020415
832793358,2,4,10,283103.31
832928980,2,4,10,21695.819910204078
832932915,2,4,10,273415.63489795924
832947522,2,4,10,51635.184416326534
832962701,2,4,10,607188.7456653062
833085457,2,4,10,61542.659681632664
833087665,2,4,10,155523.38844081628
836346869,2,4,10,19936.21596734694
836353167,2,4,10,705824.4950530613
837663879,2,4,10,280811.5940816326
837668025,2,4,10,343695.137722449
837717257,2,4,10,4143.539297959183
842058910,2,4,10,1411529.038979592
845044335,2,4,10,117432.94546122453
847162421,2,4,10,12785.67333877551
848151556,2,4,10,670081.2945224489
848764870,2,4,10,251937.97925714284
850549205,2,4,10,41598.6362367347
850562202,2,4,10,11485.317681632656
850564755,2,4,10,25793.881297959182
850575936,2,4,10,73980.9548653061
856030354,2,4,10,6846.927804081633
856030824,2,4,10,9139.003844897956
856065671,2,4,10,4528.358563265305
860861951,2,4,10,39259.70999999999
863526628,2,4,10,408419.4114285715
868192553,2,4,10,420.8861714285715
869459445,2,4,10,160068.75510204083
929877038,2,4,10,8374.94872653061
943969594,2,4,10,455870.69469387754
943981017,2,4,10,182201.86448979596
1030393072,2,4,10,49605.58800816327
1035064903,2,4,10,25730.083877551024
1035065755,2,4,10,30516.99415510203
1035556462,2,4,10,1513.038171428572
1037689383,2,4,10,30516.469640816325
1061289615,2,4,10,277047.2726530612
1062867487,2,4,10,8405.921436734694
1063668113,2,4,10,14159.904808163268
1063721481,2,4,10,305820.19366530614
1064483626,2,4,10,152896.16302857146
1064587225,2,4,10,10558.30612244898
1064614421,2,4,10,147542.7168897959
1064646595,2,4,10,135304.45188571428
1066797131,2,4,10,72140.83163265306
1069872187,2,4,10,22449.754538775513
1085391770,2,4,10,20427.40094693879
1088105426,2,4,10,38789.48286530612
1088112515,2,4,10,186893.2016
1088136910,2,4,10,15028.816522448979
1088218093,2,4,10,135469.4663183673
1089781589,2,4,10,195619.69041632648
1089827822,2,4,10,50477.44387755102
1091814217,2,4,10,100081.29060408165
1093205481,2,4,10,40665.29064489795
1093460235,2,4,10,122200.81347755104
1100406492,2,4,10,48473.923420408144
1104772642,2,4,10,35408.65942040817
1105145372,2,4,10,22132.64346122449
1105151446,2,4,10,32169.33991020408
1105152913,2,4,10,14131.741910204086
1107699346,2,4,10,828705.0270938774
1107705014,2,4,10,204452.9852734694
1108166267,2,4,10,58197.92211428571
1178366721,2,4,10,81872.0283755102
1182041425,2,4,10,24180.91346938776
1276335264,2,4,10,390124.8913959184
1285920100,2,4,10,310992.1016816327
1354957437,2,4,10,254954.42968163264
1402591736,2,4,10,56312.92325714286
1556889332,2,4,10,35935.655665306134
1561695466,2,4,10,2394.2656000000006
1574713555,2,4,10,764562.8729714286
1582267634,2,4,10,164286.03509387755
1585619152,2,4,10,53743.21608979594
1594262232,2,4,10,41928.24596734695
1594263670,2,4,10,81113.373355102
1594271549,2,4,10,33897.48411428572
1617994924,2,4,10,71754.74517551021
1711757436,2,4,10,108107.22823673472
716679764,2,5,10,224676.8047265306
735286989,2,5,10,32625.61224489796
796628327,2,5,10,15149.152848979596
803656013,2,5,10,568148.277967347
804245827,2,5,10,10629.380408163264
807444298,2,5,10,16172.248318367345
811224241,2,5,10,324286.87943673466
811350832,2,5,10,593818.6299102041
811405342,2,5,10,17855.70693877552
813036796,2,5,10,14412.64574693877
815378026,2,5,10,43320.95081632651
821340660,2,5,10,24886.909999999996
821851364,2,5,10,118517.52694693877
824008632,2,5,10,341462.93298775516
824014002,2,5,10,2216.837053061224
824093461,2,5,10,9495.24715102041
829628090,2,5,10,1815204.1180326534
830443285,2,5,10,37693.87163265307
831771058,2,5,10,209086.63023673467
831990789,2,5,10,287404.2567428573
832793358,2,5,10,272869.79816326534
832928980,2,5,10,23071.88897959184
832932915,2,5,10,292160.97876734694
832947522,2,5,10,68827.04013061225
832962701,2,5,10,608844.4131510205
833085457,2,5,10,46894.34093061226
833087665,2,5,10,201106.0354204081
836346869,2,5,10,19864.47791020408
836353167,2,5,10,572785.2086204082
837663879,2,5,10,294558.53286530613
837668025,2,5,10,342807.08911020414
