TEST_ITEM_COMMUNICATIONKEY,BLOCK_SIZE,WINDOW_SIZE,TWIN_NUMBER,MEAN_SAMPLE,MEAN_TEST,BIAS,RESAMPLING_MEAN_TWIN,RESAMPLING_MEAN_TEST,RESAMPLING_VARIANCE_TWIN,RESAMPLING_VARIANCE_TEST,TARGET_VARIANCE,CV,RMSE,MAPE,MPE,MAE,WASSERSTEIN,MAX_TWIN_NUM
1085302391,1,1,3,1130.1527540999737,224.0,906.1527540999737,1130.1527540999737,223.58499794636347,10579.716209580594,131.39202450092068,76477413.21749747,0.09101225216895793,911.9717813466314,4.045324795089169,4.045324795089169,906.1527540999737,911.1674809110199,3
1085391770,1,1,3,429.9351084703053,512.0,-82.0648915296947,429.9351084703053,512.3327921539309,779.420537448453,360.2691544344103,751401.8245445421,0.06493562299582753,86.68371795919353,0.16036380467934333,-0.16028299126893497,82.10626799582379,82.88370464100518,3
1088115601,1,1,3,648.7099880386796,615.9999999999999,32.70998803867974,648.7099880386796,615.2516415301258,2352.9578458105125,430.5876100973432,375096.3401025448,0.07477501152285795,58.50556523358341,0.07615223441299451,0.05310062993292159,46.90977639840462,43.47874644102798,3
1088136910,1,1,3,693.5298427129195,572.0,121.5298427129195,693.5298427129195,570.2113413428408,2284.826677005066,576.7206023408935,1843695.842720507,0.06892257217215594,130.59222544559083,0.21263362824757423,0.21246475998762146,121.62643535761246,125.59907648089094,3
1092083846,1,1,3,679.1204835779918,300.0,379.12048357799176,679.1204835779918,297.4505930971212,3031.5520513573833,223.4015510774896,17524024.31615098,0.08107476245536073,383.0977592204993,1.2637349452599724,1.2637349452599724,379.1204835779917,383.77226217308464,3
1105152913,1,1,3,243.64461389106643,160.0,83.64461389106643,243.64461389106643,156.5085430907322,567.8401470410961,122.43753788502224,903191.174927462,0.09780391332480899,86.97276343791015,0.5227788368191654,0.5227788368191654,83.64461389106644,88.06897222295059,3
1178366721,1,1,3,,276.0,,,276.455561666764,,133.71935616649765,0.0,,,,,,,3
1182041425,1,1,3,,418.0,,,415.8949131251465,,216.04111143157428,0.0,,,,,,,3
1276335264,1,1,3,,181.99999999999997,,,182.42277016423057,,110.4427155234431,0.0,,,,,,,3
1281740511,1,1,3,,71.0,,,71.55040892912247,,34.97723381123878,0.0,,,,,,,3
1288996309,1,1,3,,0.0,,,,,,0.0,,,,,,,3
1402591736,1,1,3,,160.0,,,161.48956879916724,,98.55004934953824,0.0,,,,,,,3
1447265146,1,1,3,,78.0,,,78.53379614347078,,45.0025315939497,0.0,,,,,,,3
1462081956,1,1,3,,0.0,,,,,,0.0,,,,,,,3
1556774133,1,1,3,,145.0,,,139.52469582244802,,90.17313139968614,0.0,,,,,,,3
1561695466,1,1,3,,82.0,,,76.44766806312377,,93.4334718702533,0.0,,,,,,,3
1574713555,1,1,3,,117.0,,,117.5365319147303,,69.8613914765669,0.0,,,,,,,3
1585619152,1,1,3,,787.0,,,785.5674067459013,,1181.2374315042482,0.0,,,,,,,3
1587446900,1,1,3,,0.0,,,,,,0.0,,,,,,,3
1594262232,1,1,3,,1010.0,,,1004.0210481913971,,809.6970120153434,0.0,,,,,,,3
1594263670,1,1,3,,745.0,,,745.1674897302282,,619.1107647817258,0.0,,,,,,,3
1594269323,1,1,3,,798.0,,,796.8644875762046,,1293.8616117403753,0.0,,,,,,,3
1594271549,1,1,3,,0.0,,,,,,0.0,,,,,,,3
1602841085,1,1,3,,220.0,,,220.39575229365482,,137.70284657634912,0.0,,,,,,,3
1603782512,1,1,3,478.4882753597878,473.0,5.488275359787792,478.4882753597878,473.828481978157,1321.1970760328318,406.64556691366397,84783.41444018423,0.07596481795759237,36.760280772291246,0.06197514016726261,0.011603119153885401,29.314241299115217,16.849360354905087,3
1617994924,1,1,3,,0.0,,,,,,0.0,,,,,,,3
1617995015,1,1,3,,69.0,,,69.51458748288549,,28.94408435555358,0.0,,,,,,,3
1637109554,1,1,3,435.90724598147796,0.0,435.90724598147796,435.90724598147796,,1889.7162330462168,,15507452.543429364,0.09972503757800982,438.0694503525702,inf,inf,435.90724598147796,,3
716679764,1,1,4,,372.0,,,364.4763347630373,,236.1315923541024,0.0,,,,,,,4
718909161,1,1,4,231.33411966069045,426.0,-194.66588033930955,231.33411966069045,421.04437381747016,1056.6076778623114,314.4616297679455,2967721.6463360633,0.14051322095612953,197.36112242825507,0.4569621604209144,-0.4569621604209144,194.66588033930955,190.29098923145102,4
735286989,1,1,4,,530.0,,,529.4210627356816,,428.9245343081416,0.0,,,,,,,4
752591985,1,1,4,200.0070038686284,18.0,182.0070038686284,200.0070038686284,19.994059493805192,958.5768791270272,8.069180046099836,2754348.8020450105,0.15479904272864634,184.62157603151897,10.111500214923801,10.111500214923801,182.0070038686284,182.1988752024786,4
756589959,1,1,4,,198.0,,,194.66189857768342,,105.83935364802781,0.0,,,,,,,4
796628327,1,1,4,306.61762838013425,138.0,168.61762838013425,306.61762838013425,138.47481664080726,503.08423092146336,66.57121980806791,1271866.2588438722,0.0731514993690155,170.1028771992482,1.2218668723198134,1.2218668723198134,168.61762838013425,168.74793194220422,4
803582159,1,1,4,,159.0,,,159.3994867995592,,85.05357163372791,0.0,,,,,,,4
803603891,1,1,4,463.97278582166047,95.0,368.97278582166047,463.97278582166047,95.02806421640966,8720.324969039326,59.712972531804155,19155133.438112486,0.20126758097649028,380.6064130385039,3.883924061280637,3.883924061280637,368.97278582166047,378.7753270656681,4
806267522,1,1,4,,237.0,,,235.41403907474194,,170.15515774708203,0.0,,,,,,,4
807443786,1,1,4,,146.0,,,146.59615443945242,,140.07499294475588,0.0,,,,,,,4
807444058,1,1,4,,245.99999999999997,,,246.95319256300974,,133.52478586349346,0.0,,,,,,,4
807444298,1,1,4,325.61002131756277,384.0,-58.38997868243723,325.61002131756277,381.7683003381212,807.3873251425254,323.0859538969122,185350.6142404474,0.08726562448934123,64.93671485129195,0.15358848399414926,-0.15205723615218023,58.97797785375333,57.13043562522631,4
811224241,1,1,4,798.6217551399093,1207.0,-408.3782448600907,798.6217551399093,1204.6633418532335,4884.118037461899,1414.2627611256767,7545345.215608472,0.08750884243807901,414.3149875547228,0.3383415450373576,-0.3383415450373576,408.37824486009066,407.33339665677363,4
811405342,1,1,4,691.8512369451163,690.0,1.851236945116284,691.8512369451163,688.9194342088323,4152.291634431612,500.6056535800321,335794.6823782973,0.09313892101441425,64.46486417156694,0.07371164759591471,0.0026829520943714475,50.86103684118116,42.635994411506275,4
811408901,1,1,4,,1260.0,,,1258.0015731074297,,2378.4431085966553,0.0,,,,,,,4
811579051,1,1,4,,633.0,,,633.5066446072943,,390.8168535294382,0.0,,,,,,,4
