TEST_ITEM_COMMUNICATIONKEY,window_size,block_size,num_twins,MSE
1105152913,2,4,10,17013.891041377174
1107699346,2,4,10,915566.5670187672
1107705014,2,4,10,193305.13611878044
1108166267,2,4,10,84110.83580626678
1178366721,2,4,10,83729.91202249857
1182041425,2,4,10,24202.3086835037
1276335264,2,4,10,366504.6659173432
1285920100,2,4,10,316232.90358807746
1354957437,2,4,10,256405.88530412404
1402591736,2,4,10,44697.324309727155
1556889332,2,4,10,44172.122213009
1561695466,2,4,10,2909.8762593020274
1574713555,2,4,10,815101.9722828268
1582267634,2,4,10,135308.75185454014
1585619152,2,4,10,57436.4476271463
1594262232,2,4,10,33494.04579374821
1594263670,2,4,10,67323.0986606038
1594271549,2,4,10,29239.617017237844
1617994924,2,4,10,63276.81745854601
1711757436,2,4,10,100716.40111991377
716679764,2,5,10,221172.53569663427
735286989,2,5,10,23993.457970113384
796628327,2,5,10,14047.97567122893
803656013,2,5,10,648163.0548536472
804245827,2,5,10,8330.948865145181
807444298,2,5,10,13575.427188336378
811224241,2,5,10,336093.65773693303
811350832,2,5,10,585963.1561365814
811405342,2,5,10,17573.544225650647
813036796,2,5,10,13106.024915277942
815378026,2,5,10,40306.9774089824
821340660,2,5,10,22823.814828759023
821851364,2,5,10,172722.59941260197
824008632,2,5,10,343484.7138856269
824014002,2,5,10,2496.0551412633863
824093461,2,5,10,11219.103194294457
829628090,2,5,10,1758288.8034959945
830443285,2,5,10,31844.168834751923
831771058,2,5,10,245736.52822886346
831990789,2,5,10,308677.1880304422
832793358,2,5,10,293936.52746789495
832928980,2,5,10,22856.14778633023
832932915,2,5,10,286222.32637217815
832947522,2,5,10,57985.00165259427
832962701,2,5,10,613431.0708503133
833085457,2,5,10,76995.00981488862
833087665,2,5,10,173449.17976301943
836346869,2,5,10,19140.79208565385
836353167,2,5,10,616370.2256223853
837663879,2,5,10,295092.5066873661
837668025,2,5,10,379330.18556142447
837717257,2,5,10,2725.169146111739
842058910,2,5,10,1439640.9892616721
845044335,2,5,10,124363.63185169951
847162421,2,5,10,16081.263236683631
848151556,2,5,10,683953.2037692334
848764870,2,5,10,263936.30158111965
850549205,2,5,10,39756.02801569515
850562202,2,5,10,14124.401083654368
850564755,2,5,10,52320.63851834352
850575936,2,5,10,72638.76226332813
856030354,2,5,10,6208.565735529775
856030824,2,5,10,8316.64075304782
856065671,2,5,10,3601.008144076075
860861951,2,5,10,45467.773200408265
863526628,2,5,10,435461.60604769574
868192553,2,5,10,735.707119550096
869459445,2,5,10,147586.10163533944
929877038,2,5,10,9769.173897583587
943969594,2,5,10,442465.2746410874
943981017,2,5,10,175874.73242252003
1030393072,2,5,10,52526.119113498535
1035064903,2,5,10,31888.537081556842
1035065755,2,5,10,30998.63739880399
1035556462,2,5,10,1880.912957421402
1037689383,2,5,10,37701.7339653582
1061289615,2,5,10,283383.94955261756
1062867487,2,5,10,13085.286329686716
1063668113,2,5,10,16535.09750672269
1063721481,2,5,10,334745.3707048098
1064483626,2,5,10,169341.50600458944
1064587225,2,5,10,10587.109078335447
1064614421,2,5,10,152500.46674697363
1064646595,2,5,10,130757.21113988182
1066797131,2,5,10,71391.73840126826
1069872187,2,5,10,28059.347053070313
1085391770,2,5,10,20830.131721843652
1088105426,2,5,10,54883.917952132026
1088112515,2,5,10,210462.7405330037
1088136910,2,5,10,21344.995209107765
1088218093,2,5,10,131043.30089832068
1089781589,2,5,10,151498.1290193654
1089827822,2,5,10,48946.58536275664
1091814217,2,5,10,98903.2040714002
1093205481,2,5,10,52869.63185864454
1093460235,2,5,10,119257.80113519524
1100406492,2,5,10,49777.67969047274
1104772642,2,5,10,31881.510562428397
1105145372,2,5,10,20713.566885990604
1105151446,2,5,10,31794.73509547174
1105152913,2,5,10,18279.91967832964
1107699346,2,5,10,920019.4167076851
1107705014,2,5,10,194228.17627331
1108166267,2,5,10,86343.54778421752
1178366721,2,5,10,85689.16202970511
1182041425,2,5,10,28469.28848438691
1276335264,2,5,10,369418.83709098364
1285920100,2,5,10,317380.08273479046
1354957437,2,5,10,262081.7927343888
1402591736,2,5,10,44969.565975804726
1556889332,2,5,10,48331.246101103075
1561695466,2,5,10,3475.3258275084677
1574713555,2,5,10,829659.3187169668
1582267634,2,5,10,153897.6684924789
1585619152,2,5,10,61123.93092819839
1594262232,2,5,10,38375.737308753814
1594263670,2,5,10,74247.65925771391
1594271549,2,5,10,35069.7016029612
1617994924,2,5,10,63507.55438302644
1711757436,2,5,10,103401.93205920224
716679764,2,6,10,229898.02653882463
735286989,2,6,10,27020.31277484425
796628327,2,6,10,14111.467227080735
803656013,2,6,10,651128.4455886817
804245827,2,6,10,8509.66411343947
807444298,2,6,10,13817.774707765999
811224241,2,6,10,338514.2244480935
811350832,2,6,10,586351.947109155
811405342,2,6,10,18700.64145631212
813036796,2,6,10,13051.072768858055
815378026,2,6,10,45482.65375585615
821340660,2,6,10,23391.81034921485
821851364,2,6,10,199915.1809463342
824008632,2,6,10,350503.797373085
824014002,2,6,10,2716.1900515367133
824093461,2,6,10,11830.396469838985
829628090,2,6,10,1763736.2243874802
830443285,2,6,10,34255.60729737957
831771058,2,6,10,249097.96606886986
831990789,2,6,10,322625.0138794623
832793358,2,6,10,294481.9321243846
832928980,2,6,10,24538.317014171655
832932915,2,6,10,288513.17228700867
832947522,2,6,10,59567.020120122324
832962701,2,6,10,613787.271296045
833085457,2,6,10,83177.4192184962
833087665,2,6,10,208825.01088775488
836346869,2,6,10,19471.75441973386
836353167,2,6,10,630332.1465454807
837663879,2,6,10,294940.3828208747
837668025,2,6,10,383881.88191732275
837717257,2,6,10,3052.848577166111
842058910,2,6,10,1443669.0165341408
845044335,2,6,10,127313.58428114565
847162421,2,6,10,18229.614613026428
848151556,2,6,10,685822.8445062115
848764870,2,6,10,265265.93311610393
850549205,2,6,10,42791.20924166025
850562202,2,6,10,15547.14606029486
850564755,2,6,10,58159.031799939294
850575936,2,6,10,80761.8742544631
856030354,2,6,10,6493.100302574954
856030824,2,6,10,8899.697274213
856065671,2,6,10,3780.442932241951
860861951,2,6,10,45870.52403320497
